area,pct_pov,state,county,tract
Alameda County,8.2,06,001,00562
Alameda County,7.9,06,001,00674
Alameda County,14.3,06,001,02980
Alameda County,20.0,06,001,06000
Alameda County,4.5,06,001,11964
Alameda County,12.3,06,001,12902
Alameda County,2.9,06,001,20018
Alameda County,13.2,06,001,22594
Alameda County,6.4,06,001,23350
Alameda County,5.4,06,001,26000
Alameda County,10.0,06,001,33000
Alameda County,5.3,06,001,41992
Alameda County,5.5,06,001,50916
Alameda County,19.4,06,001,53000
Alameda County,2.0,06,001,56938
Alameda County,2.6,06,001,57792
Alameda County,6.4,06,001,68084
Alameda County,5.4,06,001,68112
Alameda County,1.4,06,001,77042
Alameda County,6.5,06,001,81204
Fresno County,13.8,06,019,03190
Fresno County,25.9,06,019,06728
Fresno County,34.9,06,019,07750
Fresno County,28.0,06,019,10032
Fresno County,38.1,06,019,10816
Fresno County,17.6,06,019,11614
Fresno County,10.6,06,019,14218
Fresno County,20.3,06,019,14274
Fresno County,34.2,06,019,18674
Fresno County,24.0,06,019,20928
Fresno County,22.5,06,019,24134
Fresno County,21.5,06,019,25436
Fresno County,26.2,06,019,27000
Fresno County,12.6,06,019,27014
Fresno County,39.4,06,019,36084
Fresno County,20.2,06,019,38226
Fresno County,11.5,06,019,38562
Fresno County,29.1,06,019,40116
Fresno County,17.4,06,019,40746
Fresno County,41.9,06,019,46828
Fresno County,44.5,06,019,54008
Fresno County,36.0,06,019,55856
Fresno County,21.3,06,019,59290
Fresno County,23.8,06,019,60242
Fresno County,26.5,06,019,61096
Fresno County,23.7,06,019,67056
Fresno County,34.6,06,019,67126
Fresno County,22.7,06,019,70882
Fresno County,10.3,06,019,71246
Fresno County,8.9,06,019,73794
Fresno County,7.9,06,019,80266
Los Angeles County,3.5,06,037,00212
Los Angeles County,3.5,06,037,00394
Los Angeles County,14.3,06,037,00884
Los Angeles County,19.1,06,037,01150
Los Angeles County,10.6,06,037,01290
Los Angeles County,7.9,06,037,02462
Los Angeles County,11.5,06,037,02896
Los Angeles County,10.4,06,037,03274
Los Angeles County,16.3,06,037,03344
Los Angeles County,18.8,06,037,03386
Los Angeles County,18.2,06,037,03666
Los Angeles County,24.1,06,037,04870
Los Angeles County,15.8,06,037,04982
Los Angeles County,27.3,06,037,04996
Los Angeles County,9.1,06,037,06308
Los Angeles County,2.0,06,037,07946
Los Angeles County,10.5,06,037,08954
Los Angeles County,3.3,06,037,09598
Los Angeles County,9.3,06,037,11530
Los Angeles County,5.0,06,037,12552
Los Angeles County,7.5,06,037,12734
Los Angeles County,12.8,06,037,13560
Los Angeles County,8.0,06,037,13756
Los Angeles County,17.9,06,037,14974
Los Angeles County,28.0,06,037,15044
Los Angeles County,11.6,06,037,16742
Los Angeles County,28.3,06,037,17498
Los Angeles County,8.6,06,037,17568
Los Angeles County,5.7,06,037,18352
Los Angeles County,10.1,06,037,19052
Los Angeles County,6.0,06,037,19192
Los Angeles County,11.1,06,037,19766
Los Angeles County,11.3,06,037,19990
Los Angeles County,36.7,06,037,20550
Los Angeles County,5.8,06,037,20746
Los Angeles County,27.2,06,037,20802
Los Angeles County,9.4,06,037,20984
Los Angeles County,10.5,06,037,21096
Los Angeles County,26.1,06,037,22230
Los Angeles County,4.6,06,037,22412
Los Angeles County,35.8,06,037,24477
Los Angeles County,15.7,06,037,28168
Los Angeles County,15.5,06,037,30000
Los Angeles County,5.9,06,037,30014
Los Angeles County,9.3,06,037,31596
Los Angeles County,22.1,06,037,32506
Los Angeles County,20.3,06,037,32548
Los Angeles County,4.6,06,037,33364
Los Angeles County,3.5,06,037,33518
Los Angeles County,25.2,06,037,36056
Los Angeles County,14.5,06,037,36490
Los Angeles County,22.5,06,037,36546
